Survey,id,Municipality,Code_ine,Province,CCAA,Reindustrialization,Renaturalization,Preservation,WeightAsPontes,WeightSpain,filter_$,NearestPowerPlantName,PowerPlantCluster,Dist_to_nearest_plant
1,781,Camprodon,17039,Girona,12,8,8,8,.676045072913876,.674558178569255,0,Power plant Cercs,Lleida,49.6807060706458
1,780,Altsasu/Alsasua,31010,Navarra,5,7,7,10,.749434257506473,.747785950901192,0,Power plant Escatrón,Teruel,236.493696467019
1,779,Navas del Madroño,10133,Cáceres,11,5,8,8,.289349300547048,.288712905348206,0,Power plant Puente Nuevo,Córdoba,225.920727359729
1,778,Ribadesella,33056,Asturias,2,4,9,9,.676495224311756,.675007339903611,0,Power plant Aboño,Asturias,52.5123140276613
1,777,Guitiriz,27022,Lugo,1,8,5,8,.74394357293993,.742307342552874,0, Power plant As Pontes,Coruna,26.1043776731342
1,776,Ribadavia,32069,Ourense,1,5,10,3,.749434257506473,.747785950901192,0,Power plant Meirama,Coruna,100.053967775587
1,775,Gandesa,43064,Tarragona,12,5,0,8,.74394357293993,.742307342552874,0,Power plant Escatrón,Teruel,67.696694471759
1,774,Santa Cruz de Tenerife,38038,Santa Cruz de Tenerife,19,8,7,8,1.42673012691829,1.42359217496507,0,Power plant Los Barrios,Cádiz,1318.20518017551
1,772,Agurain/Salvatierra,1051,Alava,4,5,8,8,.74394357293993,.742307342552874,0,Power plant Velilla,Palencia,202.716878135224
1,771,Zaragoza,50297,Zaragoza,7,8,8,8,.750819978080943,.749168623720168,0,Power plant Escatrón,Teruel,66.2621296661971
1,770,Palafolls,8155,Barcelona,12,10,7,4,.749434257506473,.747785950901192,0,Power plant Cercs,Lleida,91.6209359502446
1,769,Celanova,32024,Ourense,1,0,0,10,.694790496982406,.693262373929594,0,Power plant Meirama,Coruna,117.714672207243
1,768,Melide,15046,Coruna,1,7,8,6,.74394357293993,.742307342552874,1,Power plant Meirama,Coruna,40.0676752321623
1,767,Teruel,44216,Teruel,7,10,0,0,1.4125160179956,1.4094093285706,0,Power plant de Escucha,Teruel,57.8403222682999
1,765,"Castillo de las Guardas, El",41031,Sevilla,15,5,8,9,.301935334274582,.301271257338056,0,Power plant Puente Nuevo,Córdoba,130.132150190281
1,764,Arcas,16905,Cuenca,10,3,6,9,.288135541356472,.28750181570105,0,Power plant de Escucha,Teruel,145.435657228204
1,763,Tolosa,20071,Guipúzcoa,4,8,8,9,1.34271693364885,1.33976376041372,0,Power plant Escatrón,Teruel,247.952339748848
1,762,Zaidín,22254,Huesca,7, , , ,.325479258324308,.324763398852974,0,Power plant Escatrón,Teruel,61.9700149084558
1,760,Daroca,50094,Zaragoza,7,8,7,7,.288135541356472,.28750181570105,0,Power plant de Escucha,Teruel,61.5865999147874
1,759,Madrigal de las Altas Torres,5114,Ávila,9,5,8,6,.288630219289262,.287995405638601,0,Power plant Velilla,Palencia,192.854577787977
1,758,Medina del Campo,47085,Valladolid,9,8,3,6,1.2736570830515,1.27085580013465,0,Power plant Velilla,Palencia,168.152080328942
1,757,Selaya,39082,Cantabria,3,8,4,6,.325479258324308,.324763398852974,0,Power plant Velilla,Palencia,98.5995353552244
1,755,Rojales,3113,Alicante/Alacant,13,5,9,10,1.71991584484558,1.71613305987253,0,Power plant Carboneras,Almería,159.879528758526
1,754,Selaya,39082,Cantabria,3, ,9, ,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,98.5995353552244
1,753,"Coruña, A",15030,Coruna,1,10,0,5,1.81086486611838,1.8068820477588,1,Power plant Meirama,Coruna,19.8029665718876
1,752,Cintruénigo,31072,Navarra,5, ,7,10,.74394357293993,.742307342552874,0,Power plant de Escucha,Teruel,161.710856762906
1,750,Bollullos Par del Condado,21013,Huelva,15,4,6,9,1.34271693364885,1.33976376041372,0,Power plant Los Barrios,Cádiz,157
1,749,Binaced,22060,Huesca,7,6,9,8,.288135541356472,.28750181570105,0,Power plant Escatrón,Teruel,71.5245409805465
1,748,Roquetes,43133,Tarragona,12,5,10,10,.749434257506473,.747785950901192,0,Power plant Andorra,Teruel,74.9825535067397
1,747,Palma,7040,Illes Balears,14, , , ,.95535459746218,.953253389414096,0,Power plant Cercs,Lleida,299.855318398685
1,746,Talayuela,10180,Cáceres,11,6,6,7,.74394357293993,.742307342552874,0,Power plant de Puertollano,Ciudad Real,190.427424894787
1,745,Agurain/Salvatierra,1051,Álava,4,10,10,10,.74394357293993,.742307342552874,0,Power plant Velilla,Palencia,202.716878135224
1,744,Tiétar,10904,Cáceres,11,8,10,9,.289349300547048,.288712905348206,0,Power plant de Puertollano,Ciudad Real,192.640815042713
